Location ID,Program Category,total_weekly_hours,total_program_hours,total_weekly_hours_60,total_program_hours_60,total_weekly_hours_14,total_program_hours_14,Hours_% Over60_Weekly,Hours_% Over60_Total,Hours_% Under14_Weekly,Hours_% Under14_Total,_id,Parent Location ID,Location Name,Location Type,Accessibility,Intersection,TTC Information,District,Street No,Street No Suffix,Street Name,Street Type,Street Direction,Postal Code,Description,PC,postal_code,country_code,place_name,state_name,state_code,county_name,county_code,community_name,community_code,latitude,longitude,accuracy
7,Camps,798.0,798.0,0.0,0.0,798.0,798.0,0.0,0.0,100.0,100.0,7,7.0,Broadlands Community Recreation Centre,crc,Fully Accessible,None,None,North York,19,None,Castlegrove,Blvd,None,M3A 1K9,"Check the Drop-In Programs tab for hours for the outdoor pool (summer) or the outdoor rink (winter).<br><br>
A small community centre located in the DVP (Don Valley Parkway) and Lawrence Avenue East area in a residential community. Programs are offered for preschoolers, children, adults and older adults. Rooms can also be permitted by groups or individuals.",M3A,M3A,CA,North York (York Heights / Victoria Village / Parkway East),Ontario,ON,North York ,,,,43.7545,-79.33,1.0
7,Fitness,7.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,7.0,Broadlands Community Recreation Centre,crc,Fully Accessible,None,None,North York,19,None,Castlegrove,Blvd,None,M3A 1K9,"Check the Drop-In Programs tab for hours for the outdoor pool (summer) or the outdoor rink (winter).<br><br>
A small community centre located in the DVP (Don Valley Parkway) and Lawrence Avenue East area in a residential community. Programs are offered for preschoolers, children, adults and older adults. Rooms can also be permitted by groups or individuals.",M3A,M3A,CA,North York (York Heights / Victoria Village / Parkway East),Ontario,ON,North York ,,,,43.7545,-79.33,1.0
7,Sports,1.6,13.6,0.0,0.0,1.6,13.6,0.0,0.0,100.0,100.0,7,7.0,Broadlands Community Recreation Centre,crc,Fully Accessible,None,None,North York,19,None,Castlegrove,Blvd,None,M3A 1K9,"Check the Drop-In Programs tab for hours for the outdoor pool (summer) or the outdoor rink (winter).<br><br>
A small community centre located in the DVP (Don Valley Parkway) and Lawrence Avenue East area in a residential community. Programs are offered for preschoolers, children, adults and older adults. Rooms can also be permitted by groups or individuals.",M3A,M3A,CA,North York (York Heights / Victoria Village / Parkway East),Ontario,ON,North York ,,,,43.7545,-79.33,1.0
7,General,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,7.0,Broadlands Community Recreation Centre,crc,Fully Accessible,None,None,North York,19,None,Castlegrove,Blvd,None,M3A 1K9,"Check the Drop-In Programs tab for hours for the outdoor pool (summer) or the outdoor rink (winter).<br><br>
A small community centre located in the DVP (Don Valley Parkway) and Lawrence Avenue East area in a residential community. Programs are offered for preschoolers, children, adults and older adults. Rooms can also be permitted by groups or individuals.",M3A,M3A,CA,North York (York Heights / Victoria Village / Parkway East),Ontario,ON,North York ,,,,43.7545,-79.33,1.0
7,Arts,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,7.0,Broadlands Community Recreation Centre,crc,Fully Accessible,None,None,North York,19,None,Castlegrove,Blvd,None,M3A 1K9,"Check the Drop-In Programs tab for hours for the outdoor pool (summer) or the outdoor rink (winter).<br><br>
A small community centre located in the DVP (Don Valley Parkway) and Lawrence Avenue East area in a residential community. Programs are offered for preschoolers, children, adults and older adults. Rooms can also be permitted by groups or individuals.",M3A,M3A,CA,North York (York Heights / Victoria Village / Parkway East),Ontario,ON,North York ,,,,43.7545,-79.33,1.0
7,Swimming,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,7.0,Broadlands Community Recreation Centre,crc,Fully Accessible,None,None,North York,19,None,Castlegrove,Blvd,None,M3A 1K9,"Check the Drop-In Programs tab for hours for the outdoor pool (summer) or the outdoor rink (winter).<br><br>
A small community centre located in the DVP (Don Valley Parkway) and Lawrence Avenue East area in a residential community. Programs are offered for preschoolers, children, adults and older adults. Rooms can also be permitted by groups or individuals.",M3A,M3A,CA,North York (York Heights / Victoria Village / Parkway East),Ontario,ON,North York ,,,,43.7545,-79.33,1.0
7,Skating,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,7.0,Broadlands Community Recreation Centre,crc,Fully Accessible,None,None,North York,19,None,Castlegrove,Blvd,None,M3A 1K9,"Check the Drop-In Programs tab for hours for the outdoor pool (summer) or the outdoor rink (winter).<br><br>
A small community centre located in the DVP (Don Valley Parkway) and Lawrence Avenue East area in a residential community. Programs are offered for preschoolers, children, adults and older adults. Rooms can also be permitted by groups or individuals.",M3A,M3A,CA,North York (York Heights / Victoria Village / Parkway East),Ontario,ON,North York ,,,,43.7545,-79.33,1.0
13,Camps,462.0,462.0,0.0,0.0,462.0,462.0,0.0,0.0,100.0,100.0,12,13.0,Adam Beck Community Centre,crc,Partially Accessible,None,None,Toronto and East York,79,None,Lawlor,Ave,None,M4E 3L8,"<p>Adam Beck Community Centre is a shared-use facility. </p>
<p>This is an <a href=""https://www.toronto.ca/explore-enjoy/parks-recreation/program-activities/camps-after-school/after-school-recreation-care/"">After-School Recreation Care (ARC) location</a>. </p>",M4E,M4E,CA,East Toronto (The Beaches),Ontario,ON,Toronto,8133394.0,,,43.6784,-79.2941,6.0
13,Fitness,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,13.0,Adam Beck Community Centre,crc,Partially Accessible,None,None,Toronto and East York,79,None,Lawlor,Ave,None,M4E 3L8,"<p>Adam Beck Community Centre is a shared-use facility. </p>
<p>This is an <a href=""https://www.toronto.ca/explore-enjoy/parks-recreation/program-activities/camps-after-school/after-school-recreation-care/"">After-School Recreation Care (ARC) location</a>. </p>",M4E,M4E,CA,East Toronto (The Beaches),Ontario,ON,Toronto,8133394.0,,,43.6784,-79.2941,6.0
13,Sports,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,13.0,Adam Beck Community Centre,crc,Partially Accessible,None,None,Toronto and East York,79,None,Lawlor,Ave,None,M4E 3L8,"<p>Adam Beck Community Centre is a shared-use facility. </p>
<p>This is an <a href=""https://www.toronto.ca/explore-enjoy/parks-recreation/program-activities/camps-after-school/after-school-recreation-care/"">After-School Recreation Care (ARC) location</a>. </p>",M4E,M4E,CA,East Toronto (The Beaches),Ontario,ON,Toronto,8133394.0,,,43.6784,-79.2941,6.0
